,gene
1051,Arhgef10
1052,Arhgef10l
1053,Arhgef11
1054,Arhgef12
1055,Arhgef17
1056,Arhgef18
1057,Arhgef19
1058,Arhgef2
1059,Arhgef25
1060,Arhgef26
1061,Arhgef28
1062,Arhgef3
1063,Arhgef33
1064,Arhgef37
1065,Arhgef4
1066,Arhgef40
1067,Arhgef5
1068,Arhgef6
1069,Arhgef7
1070,Arhgef9
1071,Arid1a
1072,Arid1b
1073,Arid2
1074,Arid3a
1075,Arid4a
1076,Arid4b
1077,Arid5a
1078,Arid5b
1079,Arih1
1080,Arih2
1081,Arl1
1082,Arl13b
1083,Arl14ep
1084,Arl15
1085,Arl16
1086,Arl2
1087,Arl2bp
1088,Arl3
1089,Arl4a
1090,Arl4c
1091,Arl5a
1092,Arl5b
1093,Arl5c
1094,Arl6
1095,Arl6ip1
1096,Arl6ip4
1097,Arl6ip5
1098,Arl6ip6
1099,Arl8a
1100,Arl8b
1101,Armc1
1102,Armc10
1103,Armc12
1104,Armc2
1105,Armc3
1106,Armc4
1107,Armc6
1108,Armc7
1109,Armc8
1110,Armc9
1111,Armcx2
1112,Armcx3
1113,Armh1
1114,Armh3
1115,Armt1
1116,Arnt
1117,Arnt2
1118,Arntl
1119,Arntl2
1120,Arpc1a
1121,Arpc1b
1122,Arpc2
1123,Arpc3
1124,Arpc4
1125,Arpc5
1126,Arpc5l
1127,Arpin
1128,Arpp19
1129,Arrb1
1130,Arrb2
1131,Arrdc1
1132,Arrdc3
1133,Arrdc4
1134,Arsa
1135,Arsb
1136,Arsg
1137,Arsj
1138,Art3
1139,Arv1
1140,Arvcf
1141,As3mt
1142,Asah1
1143,Asah2
1144,Asap1
1145,Asap2
1146,Asap3
1147,Asb1
1148,Asb13
1149,Asb15
1150,Asb16
1151,Asb17os
1152,Asb3
1153,Asb6
1154,Asb7
1155,Asb8
1156,Ascc1
1157,Ascc2
1158,Ascc3
1159,Asf1a
1160,Asf1b
1161,Ash1l
1162,Ash2l
1163,Asic1
1164,Asic2
1165,Asl
1166,Asna1
1167,Asns
1168,Asnsd1
1169,Aspa
1170,Asph
1171,Aspm
1172,Aspscr1
1173,Asrgl1
1174,Ass1
1175,Astn1
1176,Astn2
1177,Asxl1
1178,Asxl2
1179,Asxl3
1180,Atad1
1181,Atad2
1182,Atad2b
1183,Atad3a
1184,Atad3aos
1185,Atad5
1186,Atat1
1187,Atcay
1188,Ate1
1189,Atf1
1190,Atf2
1191,Atf3
1192,Atf4
1193,Atf5
1194,Atf6
1195,Atf6b
1196,Atf7
1197,Atf7ip
1198,Atg10
1199,Atg101
1200,Atg12
1201,Atg13
1202,Atg14
1203,Atg16l1
1204,Atg16l2
1205,Atg2a
1206,Atg2b
1207,Atg3
1208,Atg4a
1209,Atg4b
1210,Atg4c
1211,Atg5
1212,Atg7
1213,Atic
1214,Atl1
1215,Atl2
1216,Atl3
1217,Atm
1218,Atn1
1219,Atoh8
1220,Atox1
1221,Atp10a
1222,Atp10d
1223,Atp11a
1224,Atp11b
1225,Atp11c
1226,Atp13a1
